unlocode,country,location_code,name,name_ascii,subdivision,latitude,longitude
CLPOC,CL,POC,Puerto Octay,Puerto Octay,LL,-40.96666666666667,-72.9
CLPOS,CL,POS,Posesión,Posesion,CO,-29.9,-70.06666666666666
CLPPY,CL,PPY,Puerto Percy,Puerto Percy,MA,-52.9,-70.26666666666667
CLPQD,CL,PQD,Puqueldón,Puqueldon,LL,-42.583333333333336,-73.63333333333334
CLPTC,CL,PTC,Punta Chungo,Punta Chungo,CO,-31.866666666666667,-71.5
CLPTE,CL,PTE,Quellón (Puerto Quellón),Quellon (Puerto Quellon),LL,-43.1,-73.61666666666666
CLPTI,CL,PTI,Patillos,Patillos,TA,-20.75,-70.18333333333334
CLPUQ,CL,PUQ,Punta Arenas,Punta Arenas,MA,-53.13333333333333,-70.93333333333334
CLPVS,CL,PVS,Puerto Varas,Puerto Varas,LL,-41.31666666666667,-72.98333333333333
CLQCO,CL,QCO,Quinchao,Quinchao,LL,-42.516666666666666,-73.4
CLQLN,CL,QLN,Queilén,Queilen,LL,-42.86666666666667,-73.46666666666667
CLQMC,CL,QMC,Quemchi,Quemchi,LL,-42.13333333333333,-73.48333333333333
CLQTV,CL,QTV,Quintero,Quintero,VS,-32.766666666666666,-71.53333333333333
CLQUV,CL,QUV,Quellón Viejo,Quellon Viejo,LL,-43.13333333333333,-73.66666666666667
CLRAF,CL,RAF,Rauco,Rauco,LL,-42.53333333333333,-73.78333333333333
CLSAA,CL,SAA,Saavedra,Saavedra,AR,-38.78333333333333,-73.4
CLSAI,CL,SAI,San Antonio,San Antonio,VS,-33.6,-71.6
CLSVE,CL,SVE,San Vicente,San Vicente,BI,-36.7,-73.13333333333334
CLTAL,CL,TAL,Talcahuano,Talcahuano,BI,-36.733333333333334,-73.11666666666666
CLTLX,CL,TLX,Talca,Talca,ML,-35.416666666666664,-71.65
CLTOM,CL,TOM,Tomé,Tome,BI,-36.6,-72.95
CLTON,CL,TON,Tongoy,Tongoy,CO,-30.25,-71.48333333333333
CLTOQ,CL,TOQ,Tocopilla,Tocopilla,AN,-22.083333333333332,-70.18333333333334
CLTOR,CL,TOR,Tortel,Tortel,AI,-47.833333333333336,-73.56666666666666
CLTPT,CL,TPT,Tres Puentes,Tres Puentes,MA,-53.11666666666667,-70.88333333333334
CLTTC,CL,TTC,Taltal,Taltal,AN,-25.4,-70.46666666666667
CLVAP,CL,VAP,Valparaiso,Valparaiso,VS,-33.03333333333333,-71.63333333333334
CLVIL,CL,VIL,Villarrica,Villarrica,AR,-39.266666666666666,-72.21666666666667
CLVNT,CL,VNT,Ventanas,Ventanas,VS,-32.733333333333334,-71.48333333333333
CLWCA,CL,WCA,Castro,Castro,LL,-42.46666666666667,-73.76666666666667
CLWCH,CL,WCH,Chaitén,Chaiten,LL,-42.916666666666664,-72.7
CLWPA,CL,WPA,Puerto Aisén,Puerto Aisen,AI,-45.38333333333333,-72.7
CLWPU,CL,WPU,Puerto Williams,Puerto Williams,MA,-54.916666666666664,-67.61666666666666
CLZAL,CL,ZAL,Valdivia,Valdivia,LL,-39.81666666666667,-73.21666666666667
CLZOS,CL,ZOS,Osorno,Osorno,LL,-40.56666666666667,-73.15
CLZUD,CL,ZUD,Ancud,Ancud,LL,-41.85,-73.83333333333333
CMGOU,CM,GOU,Garoua,Garoua,NO,9.3,13.4
CMKUM,CM,KUM,Kumba,Kumba,SW,4.633333333333333,9.433333333333334
CMLIM,CM,LIM,Limbe,Limbe,,4.016666666666667,9.216666666666667
